allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
1,1,0,Blue,3,6,212,16,Mage,None,11740,Cassiopeia,18944,733,7,1,4,2,Red,9,Ally,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-480.9000000000001,-460.5999999999999,10039,3,3216064575,Enemy,Vovadss,8583,20,1,2,0
1,3,0,Blue,4,10,396,16,Assassin,None,568,Ekko,22011,18418,10,1,2,1,Red,7,Ally,Ally,False,False,Enemy,Enemy,False,Ally,False,515.8,241.79999999999995,14568,9,3215475340,Enemy,Vovadss,15953,33,1,2,0
0,3,2,Red,7,5,308,14,Mage,None,11740,Cassiopeia,12196,9674,5,1,0,0,Blue,4,Enemy,Ally,False,False,Ally,Ally,True,Ally,False,-12.799999999999955,-381.5999999999999,9616,4,3215459107,Ally,Vovadss,3501,17,0,3,1
0,0,0,Red,1,1,143,10,Mage,None,11740,Cassiopeia,6038,677,4,0,2,1,Blue,4,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,645.8,468.0999999999999,5134,3,3214343764,Enemy,Vovadss,1295,8,0,1,0
1,3,5,Red,11,9,188,14,Mage,None,11740,Cassiopeia,24403,8904,4,0,1,0,Blue,1,Ally,Ally,False,False,Enemy,Ally,False,Ally,True,569.5999999999999,-339.0,11696,11,3206964970,Enemy,Vovadss,8352,12,0,1,1
0,4,1,Blue,9,15,135,15,Assassin,None,1027,Khazix,15028,36268,8,0,0,0,Red,5,None,Enemy,False,False,Ally,Ally,True,Ally,False,229.70000000000005,-317.29999999999995,11608,9,3205652209,Ally,Vovadss,8872,20,0,2,1
0,2,2,Blue,10,11,156,13,Mage,None,11740,Cassiopeia,16249,6026,3,0,0,0,Red,1,None,Ally,False,False,Ally,Ally,True,Ally,True,283.20000000000005,-290.0,9610,7,3205608103,Ally,Vovadss,5973,11,0,2,1
0,1,1,Blue,5,12,120,16,Mage,None,18778,Zoe,30327,3465,13,2,4,3,Red,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,3.599999999999909,709.5,11677,7,3203900541,None,Vovadss,4964,26,2,3,0
2,1,2,Red,7,15,384,18,Mage,None,3493,Viktor,52453,8544,10,0,4,1,Blue,9,Ally,Enemy,False,False,Enemy,Ally,True,Enemy,False,-13.5,-178.79999999999995,16480,15,3203832384,None,Vovadss,3362,24,0,2,0
0,2,0,Blue,5,10,168,13,Mage,None,68403,Syndra,14046,4558,5,0,0,0,Red,0,None,Enemy,False,False,Ally,None,None,Ally,False,-123.90000000000009,267.0999999999999,9398,4,3203792665,None,Vovadss,819,17,1,3,1
1,4,1,Red,8,21,88,15,Support,None,177663,Nami,9476,3323,8,1,0,0,Blue,6,Enemy,Ally,False,False,Ally,Ally,True,Ally,False,650.9000000000001,580.3,9226,2,3213240283,Enemy,Rinnie the Pooh,15844,73,6,6,1
1,0,0,Blue,2,22,162,13,Support,None,177663,Nami,9915,2015,4,0,4,2,Red,8,Ally,Ally,False,False,Enemy,Enemy,False,Ally,True,-143.29999999999995,371.4000000000001,8274,2,3213185386,Enemy,Rinnie the Pooh,9790,61,3,4,0
