allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,2,1,Red,6,6,64,12,Fighter,None,173,Renekton,8141,10216,5,1,1,1,Blue,5,Enemy,Ally,False,True,Ally,Ally,False,Ally,False,737.0999999999999,348.20000000000005,8250,2,3133049518,Ally,rheema,7329,24,1,3,0
0,1,0,Blue,2,5,21,14,Fighter,None,2181,Illaoi,23689,352,8,1,3,2,Red,9,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,56.299999999999955,503.5,9278,3,3133000102,Enemy,rheema,7147,20,2,7,0
0,2,3,Blue,11,3,32,16,Fighter,None,492925,Mordekaiser,28525,25753,1,0,0,0,Red,1,None,Ally,False,True,Ally,Ally,False,Ally,False,-286.0,-477.4000000000001,14519,18,3072400906,Ally,rheema,8091,22,1,0,1
0,1,2,Blue,9,0,20,14,Fighter,None,492925,Mordekaiser,14219,17365,5,0,0,0,Red,3,None,Ally,False,True,Ally,Ally,False,Ally,False,-557.5,-626.0,11913,10,3072377757,Enemy,rheema,3674,11,0,0,1
0,1,2,Blue,10,5,254,17,Mage,None,1028,Swain,38958,10929,1,0,2,0,Red,4,None,Enemy,False,False,Enemy,Ally,False,Ally,False,-63.299999999999955,204.0,17617,16,3072372869,None,rheema,17300,16,0,0,1
0,1,0,Red,3,3,25,12,Fighter,None,492925,Mordekaiser,20443,2571,10,1,2,3,Blue,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,-409.5,215.70000000000005,8006,2,3072346104,Enemy,rheema,4458,12,1,1,0
0,1,0,Red,0,4,27,12,Fighter,None,492925,Mordekaiser,9671,160,14,0,3,2,Blue,11,None,Ally,False,True,Ally,Enemy,False,Enemy,False,302.29999999999995,-36.200000000000045,7052,2,3071352491,Enemy,rheema,2710,10,0,0,0
1,3,1,Blue,7,2,40,15,Fighter,None,2181,Illaoi,18235,8016,6,0,0,0,Red,1,Ally,Enemy,False,False,Ally,Ally,True,Ally,False,388.79999999999995,647.7,10967,3,3071319525,None,rheema,6584,25,2,2,1
0,2,0,Red,2,4,112,13,Fighter,None,492925,Mordekaiser,16643,5021,7,1,1,1,Blue,9,Enemy,Ally,False,False,Ally,Enemy,False,Ally,False,127.59999999999991,-257.20000000000005,8928,5,3071303500,Enemy,rheema,4830,11,2,0,0
0,4,2,Red,9,9,52,15,Fighter,None,2181,Illaoi,27163,7586,8,0,0,0,Blue,0,None,Enemy,False,False,Ally,Ally,True,Ally,False,158.5,-253.5999999999999,12034,3,3061336316,Ally,rheema,10171,30,1,1,1
2,2,2,Blue,9,14,102,15,Tank,None,1108,Shen,7956,2704,11,0,3,0,Red,4,Ally,Enemy,False,False,Ally,Ally,True,Enemy,False,-268.79999999999995,-531.5999999999999,10107,6,3061274958,Enemy,rheema,2676,19,1,0,1
0,0,0,Blue,0,6,0,13,Marksman,None,161,Sivir,13505,3123,11,1,3,3,Red,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,171.9000000000001,47.59999999999991,8893,4,3075165903,Enemy,gtg ttyl,2711,10,0,0,0
1,2,5,Blue,10,12,190,18,Assassin,None,274212,Nidalee,41448,38894,9,1,3,1,Red,8,Ally,Ally,False,True,Ally,Ally,False,Enemy,False,531.9000000000001,492.29999999999995,19828,17,3074626638,Enemy,gtg ttyl,25543,35,0,5,1
0,2,0,Red,0,2,95,15,Assassin,None,274212,Nidalee,12141,12764,9,1,2,2,Blue,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-280.4000000000001,335.29999999999995,10952,5,3031212143,Enemy,gtg ttyl,14462,26,2,4,0
0,0,0,Blue,1,4,268,11,Fighter,None,7544,XinZhao,12532,12553,5,1,3,2,Red,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,523.7,-70.40000000000009,9097,7,3021532789,Ally,gtg ttyl,7241,13,2,3,0
0,2,1,Red,9,8,207,15,Assassin,None,274212,Nidalee,15744,22005,6,1,1,1,Blue,7,Enemy,Enemy,False,False,Ally,Enemy,False,Ally,False,50.5,-156.20000000000005,12768,11,3018453378,Enemy,gtg ttyl,12283,22,0,2,1
0,2,0,Red,2,5,105,12,Assassin,None,274212,Nidalee,12074,13178,1,0,0,0,Blue,0,None,Ally,False,True,Ally,None,None,Ally,False,1148.1,-186.29999999999995,9257,11,3018441649,None,gtg ttyl,7597,15,1,1,1
0,1,0,Blue,4,7,119,16,Assassin,None,274212,Nidalee,21519,11308,7,2,3,1,Red,9,Enemy,Ally,False,True,Enemy,Enemy,False,Enemy,False,575.0999999999999,-77.20000000000005,14493,11,3018418123,Enemy,gtg ttyl,15923,23,1,5,0
1,1,0,Red,5,10,59,17,Assassin,None,274212,Nidalee,25092,17587,7,1,4,3,Blue,11,Ally,Enemy,False,False,Enemy,Enemy,False,Ally,False,28.700000000000045,-590.4000000000001,13389,7,3018423839,Enemy,gtg ttyl,18632,35,1,7,0
1,2,1,Red,7,13,96,16,Assassin,None,274212,Nidalee,19885,16039,6,0,1,0,Blue,3,Ally,Ally,False,False,Ally,Ally,True,Enemy,False,385.0,-6.7000000000000455,13069,11,3009868346,Enemy,gtg ttyl,21119,19,2,3,1
1,2,2,Blue,7,10,310,17,Assassin,None,274212,Nidalee,22181,17429,12,2,4,2,Red,6,Ally,Ally,False,True,Enemy,Enemy,False,Enemy,False,427.0999999999999,220.4000000000001,15028,8,2978037502,Ally,gtg ttyl,18258,27,0,5,0
0,2,2,Red,10,9,173,13,Assassin,None,274212,Nidalee,9322,7623,5,0,1,0,Blue,4,None,Ally,False,False,Enemy,Ally,True,Ally,False,-75.0,-547.7,9159,3,2978023411,Enemy,gtg ttyl,12572,24,3,4,1
1,5,2,Red,8,8,200,18,Assassin,None,241686,Rengar,55856,33991,13,2,0,1,Blue,7,Enemy,Ally,False,False,Ally,Ally,False,Ally,False,108.59999999999991,-120.5,22570,31,3087177956,None,imjustapril,16890,58,0,11,1
