allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemySide,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,2,0,Blue,0,2,275,11,Mage,None,4729,Sylas,7710,1393,8,1,1,2,Red,10,Enemy,Ally,False,False,Ally,Enemy,False,Enemy,False,-137.5,-314.20000000000005,5637,0,3097768454,Enemy,ST5R Tiger,1959,18,3,2,0
1,3,3,Red,11,11,310,17,Fighter,None,22605,Urgot,27894,17951,4,0,2,0,Blue,6,Ally,Enemy,False,False,Enemy,Ally,False,Enemy,False,-228.5,-364.0,14983,12,3095648826,Ally,ST5R Tiger,11532,25,3,3,1
1,0,2,Red,6,12,230,14,Fighter,None,22605,Urgot,18547,4648,8,0,4,0,Blue,3,Ally,Ally,False,False,Enemy,Ally,False,Ally,True,78.79999999999995,-243.20000000000005,11950,8,3095596339,Ally,ST5R Tiger,3231,19,0,4,1
0,0,0,Red,0,4,104,12,Fighter,None,22605,Urgot,5753,592,6,0,3,1,Blue,8,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-412.29999999999995,-445.9000000000001,6440,1,3095574551,Enemy,ST5R Tiger,487,11,2,0,0
1,3,1,Blue,9,7,119,14,Fighter,None,7542,Kled,13836,22980,4,0,1,0,Red,0,Ally,Enemy,False,False,Enemy,Ally,True,Ally,True,-402.4000000000001,-176.0999999999999,12058,8,3095323282,Ally,ST5R Tiger,4133,20,0,3,1
0,0,0,Red,1,4,45,14,Marksman,None,46926,Ezreal,20979,1370,4,0,3,4,Blue,10,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,-72.79999999999995,-184.20000000000005,12473,8,3047391478,Enemy,ADCinSEASON9LUL,1362,10,2,0,0
0,0,0,Blue,2,3,66,15,Marksman,None,46926,Ezreal,28907,2419,5,1,4,2,Red,10,Enemy,Ally,False,False,Enemy,Enemy,False,Enemy,False,-109.5,-240.9000000000001,16411,13,3046650257,Ally,ADCinSEASON9LUL,2334,36,7,5,0
1,3,1,Blue,10,8,56,13,Marksman,None,23797,Kaisa,14705,20914,1,0,0,0,Red,1,Ally,Ally,False,False,Ally,Ally,False,Ally,True,243.29999999999995,-29.200000000000045,13304,9,3046614416,Ally,ADCinSEASON9LUL,1145,27,2,2,1
0,1,0,Red,0,1,0,14,Marksman,None,46926,Ezreal,18681,831,4,1,2,4,Blue,11,Enemy,Ally,False,False,Ally,Enemy,False,Enemy,False,149.5999999999999,-212.29999999999995,11037,5,3046586602,Enemy,ADCinSEASON9LUL,1158,16,3,1,0
0,0,0,Blue,0,3,53,12,Marksman,None,46926,Ezreal,13165,1912,5,1,3,2,Red,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-165.70000000000005,291.79999999999995,10406,6,3046568086,Enemy,ADCinSEASON9LUL,1432,19,1,4,0
1,2,3,Blue,11,5,72,14,Marksman,None,10424,Jhin,17165,25807,0,0,1,0,Red,0,Ally,Ally,False,True,Ally,Ally,False,Ally,False,-46.0,-146.79999999999995,13401,10,3046538339,Ally,ADCinSEASON9LUL,3533,15,4,0,1
0,2,0,Red,1,9,27,16,Marksman,None,46926,Ezreal,25818,9822,6,2,1,4,Blue,11,Enemy,Enemy,False,False,Ally,Enemy,False,Enemy,False,-469.4000000000001,-391.0999999999999,12983,3,3046185049,None,ADCinSEASON9LUL,1259,47,5,7,0
1,4,2,Blue,10,5,71,14,Marksman,None,23797,Kaisa,10503,27627,3,0,0,0,Red,2,Ally,Ally,False,True,Ally,Ally,False,Ally,True,-315.5999999999999,-277.4000000000001,13158,7,3045678921,Ally,ADCinSEASON9LUL,1663,30,4,4,1
1,3,3,Red,11,7,27,15,Marksman,None,43398,Tristana,17463,23210,1,0,0,0,Blue,2,Ally,Enemy,False,False,Ally,Ally,True,Ally,False,-39.59999999999991,613.0999999999999,11749,8,3045608440,Ally,ADCinSEASON9LUL,1738,14,1,0,1
0,1,0,Red,3,2,67,13,Marksman,None,23797,Kaisa,6058,2857,2,1,3,1,Blue,6,Enemy,Enemy,False,False,Ally,Enemy,False,Ally,False,-10.599999999999909,-304.0999999999999,9098,1,3045610337,Ally,ADCinSEASON9LUL,1454,20,5,3,0
0,1,0,Red,0,4,0,10,Marksman,None,46926,Ezreal,9138,2049,5,0,1,1,Blue,5,None,Ally,False,False,Ally,Enemy,False,Enemy,False,-422.20000000000005,-444.5,7223,1,3045573897,None,ADCinSEASON9LUL,957,14,1,1,0
0,2,0,Red,4,6,71,14,Marksman,None,58891,Lucian,21590,3164,5,1,2,1,Blue,10,Enemy,Enemy,False,False,Enemy,Enemy,False,Ally,False,218.5,633.8,12840,13,3037660604,Enemy,hoodcatz,4011,12,2,1,0
0,2,2,Blue,10,4,23,12,Marksman,None,58891,Lucian,14967,8446,6,0,1,0,Red,4,None,Ally,False,True,Enemy,Ally,False,Ally,False,254.79999999999995,682.5999999999999,12723,13,3037611991,Ally,hoodcatz,3398,15,1,1,1
